race,gender,politics,home_tap_safe,campus_tap_safe,bottles_safe,trusts_govt,community_influenced
White/Caucasian,Woman,Mixed,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
White/Caucasian,Woman,Consistently liberal,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
Prefer not to answer,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
White/Caucasian,Woman,Other,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Consistently liberal,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
White/Caucasian,Woman,Mixed,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Man,Consistently liberal,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
Asian,Man,Mixed,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree
Black or African American,Man,Mixed,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Man,Consistently liberal,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
Asian,Non-binary,Mixed,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Hispanic or Latino,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
Asian,Prefer not to answer,Consistently conservative,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Man,Prefer not to answer,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Man,Mostly liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
Black or African American,Woman,Consistently liberal,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree
Hispanic or Latino,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
White/Caucasian,Man,Consistently liberal,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree
Hispanic or Latino,Woman,Mixed,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
Asian,Woman,Consistently liberal,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
Asian,Woman,Mostly liberal,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree
Black or African American,Woman,Mostly liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
Hispanic or Latino,Woman,Mostly liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree
White/Caucasian,Woman,Mixed,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Prefer not to answer,Man,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Asian,Gender not listed. My gender is,Mixed,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree
"Black or African American,White/Caucasian",Woman,Prefer not to answer,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
American Indian or Alaska Native,,Mostly liberal,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
"White/Caucasian,Hispanic or Latino",Woman,Mixed,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
Asian,Woman,Mixed,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
White/Caucasian,Woman,Consistently conservative,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree
Hispanic or Latino,Woman,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Man,Mostly liberal,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
Asian,Woman,Mostly liberal,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
White/Caucasian,Man,Mostly liberal,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
Asian,Gender not listed. My gender is,Consistently conservative,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Other,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Asian,Woman,Prefer not to answer,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Asian,Man,Prefer not to answer,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
Hispanic or Latino,Woman,Mostly conservative,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree
"White/Caucasian,Hispanic or Latino",Man,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Hispanic or Latino,Woman,Prefer not to answer,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
White/Caucasian,Man,Consistently liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree
White/Caucasian,Man,Mixed,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
"American Indian or Alaska Native,Black or African American,White/Caucasian",Woman,Mostly liberal,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
Black or African American,Woman,Prefer not to answer,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree
Hispanic or Latino,Woman,Mixed,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree
Hispanic or Latino,Man,Mostly liberal,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree
"Asian,Hispanic or Latino",Prefer not to answer,Consistently liberal,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Asian,Woman,Consistently liberal,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree
White/Caucasian,Non-binary,Consistently liberal,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
White/Caucasian,Woman,Mixed,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
"White/Caucasian,Hispanic or Latino",Woman,Prefer not to answer,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
Black or African American,Woman,Prefer not to answer,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
Asian,Woman,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
Black or African American,Woman,Consistently liberal,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree
Asian,Woman,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
White/Caucasian,Woman,Mostly liberal,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
Black or African American,Woman,Prefer not to answer,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
"Asian,White/Caucasian",Woman,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree
White/Caucasian,Man,Other,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
Black or African American,Man,Other,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
Asian,Man,Mostly liberal,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
White/Caucasian,Man,Consistently liberal,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
"American Indian or Alaska Native,Black or African American,White/Caucasian,Hispanic or Latino",Woman,Mostly liberal,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree
White/Caucasian,Woman,Consistently liberal,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
"Black or African American,White/Caucasian",Man,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Prefer not to answer,Woman,Mixed,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree
"Asian,White/Caucasian",Transgender man,Mostly liberal,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
"Asian,White/Caucasian",Man,Mostly conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
"Native Hawaiian or Other Pacific Islander,White/Caucasian",Man,Mostly conservative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
American Indian or Alaska Native,Man,Other,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree
Asian,Woman,Mostly conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
Hispanic or Latino,Woman,Mixed,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Man,Consistently liberal,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
Asian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
,,,,,,,
Hispanic or Latino,Woman,Consistently liberal,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
Asian,Man,Mostly conservative,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
Asian,Woman,Mixed,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
Prefer not to answer,Woman,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree
Hispanic or Latino,Woman,Consistently liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Asian,Woman,Other,,,,,
Asian,Woman,Consistently liberal,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree
White/Caucasian,Man,Mixed,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Mostly liberal,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
Black or African American,Woman,Mostly liberal,Somewhat agree,,Somewhat agree,Somewhat disagree,Somewhat disagree
White/Caucasian,Woman,Other,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
White/Caucasian,Man,Other,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree
Asian,Man,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
Asian,Woman,Mixed,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
Asian,Woman,Prefer not to answer,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
Asian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Black or African American,Transgender woman,Mostly conservative,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Asian,Man,Prefer not to answer,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
Asian,Man,Mixed,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
Asian,Man,Mixed,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
Prefer not to answer,Man,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Asian,Man,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Black or African American,Man,Mixed,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree
Asian,Woman,Prefer not to answer,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
White/Caucasian,Non-binary,Mostly liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
Black or African American,Man,Mixed,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
Hispanic or Latino,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
Black or African American,Woman,Prefer not to answer,Somewhat agree,,Somewhat agree,,Neither agree nor disagree
Asian,Woman,Prefer not to answer,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Asian,Man,Mixed,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Black or African American,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
"White/Caucasian,Hispanic or Latino",Woman,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree
Asian,Man,Mixed,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
White/Caucasian,Woman,Mostly liberal,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree
Asian,Woman,Mixed,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree
,,,,,,,
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree
Black or African American,Man,Mostly liberal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree
White/Caucasian,Woman,Mostly liberal,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Consistently liberal,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
White/Caucasian,Non-binary,Consistently liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree
