race,gender,politics,home_tap_safe,campus_tap_safe,bottles_safe,trusts_govt,community_influenced
Hispanic or Latino,Woman,Prefer not to answer,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
Asian,Man,Mixed,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
Prefer not to answer,Non-binary,Other,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
Black or African American,Woman,Prefer not to answer,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
Black or African American,Woman,Other,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
Hispanic or Latino,Woman,Consistently liberal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree
White/Caucasian,Man,Mixed,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
Black or African American,Woman,Other,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree
Prefer not to answer,Woman,Mixed,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
Hispanic or Latino,Man,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
Black or African American,Woman,Mostly liberal,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree
"White/Caucasian,Hispanic or Latino",Woman,Mostly liberal,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
Black or African American,Woman,Consistently liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
Asian,Woman,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Asian,Man,Mostly liberal,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
Asian,Man,Other,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
Black or African American,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
White/Caucasian,Gender not listed. My gender is,Consistently liberal,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree
"Asian,White/Caucasian",Non-binary,Mostly liberal,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Hispanic or Latino,Man,Mixed,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree
Black or African American,Man,Mixed,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
Asian,Man,Mixed,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"White/Caucasian,Hispanic or Latino",Woman,Consistently liberal,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree
White/Caucasian,Gender not listed. My gender is,Consistently liberal,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Mostly liberal,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree
Black or African American,Man,Other,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree
Black or African American,Man,Prefer not to answer,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
Black or African American,Woman,Prefer not to answer,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree
,Prefer not to answer,Mixed,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
Hispanic or Latino,Man,Prefer not to answer,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
Asian,Man,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Non-binary,Mostly liberal,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
Asian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
"White/Caucasian,Hispanic or Latino",Man,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
Hispanic or Latino,Woman,Consistently liberal,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
White/Caucasian,Woman,Mixed,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree
Asian,Man,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
"White/Caucasian,Hispanic or Latino",Man,Mostly liberal,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
"Black or African American,White/Caucasian",Man,Other,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree
Asian,Woman,Prefer not to answer,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
Asian,Woman,Mostly liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree
Black or African American,Man,Mostly liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree
White/Caucasian,Woman,Consistently liberal,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree
White/Caucasian,Man,Mostly conservative,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree
White/Caucasian,Woman,Mostly liberal,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
Asian,Woman,Prefer not to answer,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
Asian,Woman,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
"White/Caucasian,Hispanic or Latino",Woman,Prefer not to answer,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Mixed,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Man,Consistently liberal,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree
Asian,Man,Mostly conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Man,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree
Asian,Woman,Mostly liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
"White/Caucasian,Hispanic or Latino",Man,Mixed,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree
Black or African American,Woman,Mixed,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree
Asian,Transgender man,Prefer not to answer,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree
Asian,Woman,Mostly liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Gender not listed. My gender is,Prefer not to answer,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree
"White/Caucasian,Hispanic or Latino",Woman,Prefer not to answer,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Mixed,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
White/Caucasian,Man,Mostly liberal,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree
Hispanic or Latino,Non-binary,Consistently liberal,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree
"White/Caucasian,Hispanic or Latino",Woman,Mostly liberal,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
Black or African American,Woman,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
,,,,,,,
Black or African American,Non-binary,Consistently liberal,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree
Black or African American,Woman,Mostly conservative,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,
Asian,Woman,Prefer not to answer,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree
"White/Caucasian,Hispanic or Latino",Woman,Mostly liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
Asian,Man,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Black or African American,Woman,Mostly liberal,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Asian,Woman,Mostly conservative,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
Black or African American,Woman,Mixed,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Asian,Man,Prefer not to answer,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
Asian,Man,Mostly liberal,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
Asian,Woman,Prefer not to answer,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree
White/Caucasian,Woman,Mixed,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Prefer not to answer,Prefer not to answer,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
Prefer not to answer,Woman,Prefer not to answer,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
Asian,Man,Mostly liberal,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Man,Consistently liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
Asian,Man,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Hispanic or Latino,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Prefer not to answer,Man,Consistently conservative,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
Black or African American,Man,Mostly conservative,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Black or African American,Man,Prefer not to answer,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
"Asian,White/Caucasian",Man,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Consistently conservative,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
White/Caucasian,Woman,Consistently conservative,Strongly disagree,,Somewhat disagree,Somewhat disagree,Somewhat disagree
White/Caucasian,Gender not listed. My gender is,Mixed,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree
Prefer not to answer,Woman,Prefer not to answer,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
Prefer not to answer,Woman,Prefer not to answer,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
White/Caucasian,Man,Mostly conservative,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
White/Caucasian,Woman,Prefer not to answer,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree
Black or African American,Man,Mixed,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
Asian,Man,Mostly liberal,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
Black or African American,Woman,Prefer not to answer,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
Asian,Woman,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
,Woman,Mostly liberal,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree
White/Caucasian,Man,Mixed,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
Asian,Man,Other,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
,,,,,,,
Prefer not to answer,Woman,Prefer not to answer,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly conservative,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
"Black or African American,Hispanic or Latino",Woman,Prefer not to answer,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
Asian,Woman,Mostly liberal,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
Black or African American,Man,Mostly liberal,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Asian,,Mostly liberal,Strongly agree,,Strongly agree,Strongly agree,Neither agree nor disagree
White/Caucasian,Woman,Prefer not to answer,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Black or African American,Man,Mixed,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
Asian,Non-binary,Other,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
Prefer not to answer,Woman,Consistently liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
"Asian,White/Caucasian",Woman,Mostly liberal,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
,,,,,,,
